symbol,entry_price,amount,cost,entry_fee,entry_time,reason,exchange,mode,exit_price,exit_fee,exit_time,pnl,pnl_pct,hold_hours,exit_reason
BTC/USDT,94715.12214,0.010027575446415988,949.7630331753554,0.23744075829383887,2024-12-27 21:00:00,Strategy signal: BUY,MEXC,backtest,96821.97798,0.24272242226641935,2025-01-03 14:00:00,20.883933468055602,2.1988572663471717,161.0,Strategy signal: SELL
BTC/USDT,95474.8686,0.01015316724631566,969.3723087158115,0.2423430771789529,2025-01-08 06:00:00,Strategy signal: BUY,MEXC,backtest,98766.072,0.25069711181941357,2025-01-15 13:00:00,33.16544145002331,3.4213316340715014,175.0,Strategy signal: SELL
BTC/USDT,101931.44598,0.009816808158340762,1000.6414504879348,0.2501603626219837,2025-01-27 00:00:00,Strategy signal: BUY,MEXC,backtest,104453.87359999999,0.2563509096316937,2025-01-30 02:00:00,24.505837129208317,2.449012792470143,74.0,Strategy signal: SELL
BTC/USDT,99405.26370000001,0.010298032091287424,1023.6785956254889,0.25591964890637225,2025-02-02 03:00:00,Strategy signal: BUY,MEXC,backtest,101676.23002,0.26176626991677043,2025-02-03 19:00:00,23.12471777167616,2.258982249945988,40.0,Strategy signal: SELL
BTC/USDT,96707.48892,0.010809902587383258,1045.3985346956458,0.26134963367391145,2025-02-04 21:00:00,Strategy signal: BUY,MEXC,backtest,98098.48984,0.26510877978495156,2025-02-20 18:00:00,14.77147566437543,1.4129994613657988,381.0,Strategy signal: SELL
BTC/USDT,94510.10292,0.011207052825906724,1059.1797160063213,0.26479492900158036,2025-02-24 15:00:00,Strategy signal: BUY,MEXC,backtest,95172.48358,0.26665076276345007,2025-04-25 14:00:00,7.1566842847155385,0.6756817730328237,1439.0,Strategy signal: SELL
BTC/USDT,106948.47,0.009964849218928644,1065.7253777451135,0.26643134443627836,2025-05-29 16:00:00,Strategy signal: BUY,MEXC,backtest,107543.6816,0.2679141428981177,2025-06-09 11:00:00,5.663279704459228,0.5314014119136139,259.0,Strategy signal: SELL
BTC/USDT,104666.75568,0.010231052809996838,1070.8511048131165,0.26771277620327916,2025-06-14 16:00:00,Strategy signal: BUY,MEXC,backtest,108565.11464,0.2776838553013002,2025-06-16 20:00:00,39.606632536782854,3.698612473644966,52.0,Strategy signal: SELL
BTC/USDT,104450.10324,0.010609982395329667,1108.2137565667663,0.27705343914169156,2025-06-17 15:00:00,Strategy signal: BUY,MEXC,backtest,105443.90956,0.2796895060315834,2025-06-24 06:00:00,10.264578053535615,0.9262272727361879,159.0,Strategy signal: SELL
BTC/USDT,117001.19532,0.009552889910069053,1117.6995382384466,0.2794248845596117,2025-07-21 19:00:00,Strategy signal: BUY,MEXC,backtest,117269.98002,0.2800668022217644,2025-08-09 09:00:00,2.2876038463891746,0.2046707337818676,446.0,Strategy signal: SELL
BTC/USDT,117385.03146,0.009537901199625344,1119.6068323803927,0.2799017080950982,2025-08-15 18:00:00,Strategy signal: BUY,MEXC,backtest,117575.57759999999,0.28035606065942065,2025-09-18 18:00:00,1.537054196630379,0.1372851747753676,816.0,Strategy signal: SELL
BTC/USDT,113031.68214,0.009915811285130255,1120.8008293410678,0.28020020733526696,2025-09-22 06:00:00,Strategy signal: BUY,MEXC,backtest,114285.56082,0.283308513426599,2025-09-30 00:00:00,12.149915851901596,1.0840387992079445,186.0,Strategy signal: SELL
BTC/USDT,119259.32256,0.009492542990968507,1132.0742464745804,0.2830185616186451,2025-10-10 15:00:00,Strategy signal: BUY,MEXC,backtest,89233.45544,0.21176310299921816,2025-12-14 12:00:00,-285.23359758070706,-25.19566172174306,1557.0,End of backtest
